beta,mix_ratio,cases
2.067297689482583412e-01,4.134595378965166823e-01,3.400000000000000000e+02
1.977676054865346589e-01,3.955352109730693178e-01,1.840000000000000000e+02
8.056895754083803762e-03,1.611379150816760752e-02,4.090000000000000000e+02
1.497755236674008228e-01,2.995510473348016456e-01,3.390000000000000000e+02
3.597598874912077971e-02,7.195197749824155942e-02,4.060000000000000000e+02
3.391771748093136973e-01,6.783543496186273947e-01,3.110000000000000000e+02
3.144634635889510532e-01,6.289269271779021064e-01,7.250000000000000000e+02
4.633860143903170137e-01,9.267720287806340274e-01,4.900000000000000000e+02
7.394552809298998719e-02,1.478910561859799744e-01,3.500000000000000000e+02
1.483892947023477960e-01,2.967785894046955919e-01,4.230000000000000000e+02
2.980396472919417117e-01,5.960792945838834234e-01,2.830000000000000000e+02
3.665942482422762660e-02,7.331884964845525321e-02,5.560000000000000000e+02
4.650390191518237737e-01,9.300780383036475474e-01,5.540000000000000000e+02
1.145901172945075763e-01,2.291802345890151527e-01,1.930000000000000000e+02
1.160418048856254325e-02,2.320836097712508650e-02,3.580000000000000000e+02
2.062456544331395802e-01,4.124913088662791605e-01,7.970000000000000000e+02
3.096538883796315922e-01,6.193077767592631844e-01,6.840000000000000000e+02
4.361126754488512947e-01,8.722253508977025893e-01,7.170000000000000000e+02
9.586440580361910158e-02,1.917288116072382032e-01,2.640000000000000000e+02
2.020594020245318756e-01,4.041188040490637512e-01,5.500000000000000000e+02
1.515426700650582825e-01,3.030853401301165650e-01,4.570000000000000000e+02
1.671116863117112494e-01,3.342233726234224989e-01,3.830000000000000000e+02
7.396930277039293067e-02,1.479386055407858613e-01,5.300000000000000000e+01
5.055300455241995561e-02,1.011060091048399112e-01,1.100000000000000000e+02
4.521713004981696149e-01,9.043426009963392298e-01,1.172000000000000000e+03
2.961145870059866958e-02,5.922291740119733916e-02,3.250000000000000000e+02
3.606996267510088061e-01,7.213992535020176122e-01,4.690000000000000000e+02
7.959974623031362828e-02,1.591994924606272566e-01,3.120000000000000000e+02
